,Concurso,1ª Dezena,2ª Dezena,3ª Dezena,4ª Dezena,5ª Dezena,6ª Dezena,Soma,Divsqmax,Divsqmin,Divmedia
0,2.0,9.0,39.0,37.0,49.0,43.0,41.0,218.0,0.6318840579710145,10.380952380952381,1.252047129469566
1,3.0,36.0,30.0,10.0,11.0,29.0,47.0,163.0,0.47246376811594204,7.761904761904762,0.9361636793740333
2,11.0,25.0,15.0,58.0,37.0,59.0,38.0,232.0,0.672463768115942,11.047619047619047,1.3324538258575198
3,17.0,10.0,20.0,6.0,19.0,51.0,13.0,119.0,0.34492753623188405,5.666666666666667,0.6834569192976072
4,24.0,1.0,8.0,14.0,28.0,33.0,43.0,127.0,0.3681159420289855,6.0476190476190474,0.7294036029478664
5,29.0,14.0,56.0,58.0,8.0,43.0,3.0,182.0,0.527536231884058,8.666666666666666,1.0452870530433993
6,33.0,5.0,33.0,49.0,17.0,42.0,39.0,185.0,0.5362318840579711,8.80952380952381,1.0625170594122464
7,41.0,38.0,26.0,35.0,39.0,12.0,47.0,197.0,0.5710144927536231,9.380952380952381,1.1314370848876354
8,49.0,33.0,7.0,43.0,35.0,13.0,55.0,186.0,0.5391304347826087,8.857142857142858,1.0682603948685288
9,54.0,5.0,21.0,9.0,56.0,18.0,36.0,145.0,0.42028985507246375,6.904761904761905,0.8327836411609499
10,58.0,30.0,49.0,27.0,37.0,12.0,44.0,199.0,0.5768115942028985,9.476190476190476,1.1429237558002001
11,63.0,26.0,9.0,41.0,49.0,25.0,40.0,190.0,0.5507246376811594,9.047619047619047,1.0912337366936584
12,73.0,57.0,25.0,45.0,28.0,51.0,26.0,232.0,0.672463768115942,11.047619047619047,1.3324538258575198
13,79.0,43.0,25.0,2.0,13.0,31.0,17.0,131.0,0.37971014492753624,6.238095238095238,0.7523769447729961
14,82.0,51.0,36.0,53.0,29.0,18.0,15.0,202.0,0.5855072463768116,9.619047619047619,1.1601537621690474
15,90.0,21.0,26.0,40.0,54.0,9.0,52.0,202.0,0.5855072463768116,9.619047619047619,1.1601537621690474
16,96.0,4.0,42.0,58.0,26.0,7.0,40.0,177.0,0.5130434782608696,8.428571428571429,1.016570375761987
17,97.0,56.0,53.0,11.0,14.0,5.0,35.0,174.0,0.5043478260869565,8.285714285714286,0.9993403693931399
18,102.0,44.0,42.0,37.0,56.0,19.0,20.0,218.0,0.6318840579710145,10.380952380952381,1.252047129469566
19,103.0,9.0,1.0,57.0,7.0,54.0,49.0,177.0,0.5130434782608696,8.428571428571429,1.016570375761987
20,112.0,37.0,43.0,34.0,20.0,12.0,42.0,188.0,0.5449275362318841,8.952380952380953,1.0797470657810937
21,124.0,52.0,5.0,34.0,57.0,15.0,41.0,204.0,0.591304347826087,9.714285714285714,1.1716404330816124
22,133.0,19.0,57.0,6.0,39.0,34.0,5.0,160.0,0.463768115942029,7.619047619047619,0.9189336730051861
23,139.0,26.0,27.0,13.0,42.0,41.0,3.0,152.0,0.4405797101449275,7.238095238095238,0.8729869893549268
24,144.0,8.0,32.0,44.0,36.0,45.0,55.0,220.0,0.6376811594202898,10.476190476190476,1.2635338003821308
25,147.0,24.0,6.0,38.0,23.0,28.0,16.0,135.0,0.391304347826087,6.428571428571429,0.7753502865981258
26,151.0,3.0,43.0,16.0,56.0,52.0,20.0,190.0,0.5507246376811594,9.047619047619047,1.0912337366936584
27,155.0,12.0,32.0,44.0,43.0,35.0,30.0,196.0,0.5681159420289855,9.333333333333334,1.125693749431353
28,157.0,17.0,13.0,4.0,44.0,41.0,21.0,140.0,0.4057971014492754,6.666666666666667,0.8040669638795378
29,159.0,16.0,9.0,50.0,58.0,11.0,35.0,179.0,0.518840579710145,8.523809523809524,1.028057046674552
30,163.0,41.0,56.0,27.0,36.0,53.0,8.0,221.0,0.6405797101449275,10.523809523809524,1.2692771358384134
31,165.0,39.0,56.0,19.0,23.0,10.0,35.0,182.0,0.527536231884058,8.666666666666666,1.0452870530433993
32,167.0,1.0,38.0,48.0,28.0,11.0,33.0,159.0,0.4608695652173913,7.571428571428571,0.9131903375489037
33,171.0,54.0,27.0,4.0,43.0,40.0,46.0,214.0,0.6202898550724638,10.19047619047619,1.2290737876444364
34,173.0,29.0,28.0,49.0,17.0,42.0,50.0,215.0,0.6231884057971014,10.238095238095237,1.2348171231007188
35,178.0,5.0,27.0,19.0,26.0,15.0,33.0,125.0,0.36231884057971014,5.9523809523809526,0.7179169320353016
36,188.0,34.0,42.0,43.0,46.0,27.0,17.0,209.0,0.6057971014492753,9.952380952380953,1.2003571103630244
37,191.0,58.0,5.0,41.0,3.0,1.0,23.0,131.0,0.37971014492753624,6.238095238095238,0.7523769447729961
38,195.0,17.0,3.0,44.0,37.0,9.0,32.0,142.0,0.4115942028985507,6.761904761904762,0.8155536347921026
39,199.0,52.0,37.0,57.0,16.0,10.0,50.0,222.0,0.6434782608695652,10.571428571428571,1.2750204712946958
40,200.0,12.0,15.0,44.0,34.0,51.0,19.0,175.0,0.5072463768115942,8.333333333333334,1.0050837048494223
41,201.0,55.0,22.0,5.0,30.0,35.0,20.0,167.0,0.48405797101449277,7.9523809523809526,0.959137021199163
42,205.0,26.0,32.0,54.0,43.0,46.0,40.0,241.0,0.6985507246376812,11.476190476190476,1.3841438449640615
43,213.0,3.0,30.0,9.0,35.0,23.0,32.0,132.0,0.3826086956521739,6.285714285714286,0.7581202802292786
44,216.0,35.0,42.0,59.0,18.0,30.0,14.0,198.0,0.5739130434782609,9.428571428571429,1.1371804203439178
45,218.0,54.0,40.0,42.0,17.0,47.0,12.0,212.0,0.6144927536231884,10.095238095238095,1.2175871167318717
46,220.0,36.0,53.0,55.0,13.0,60.0,14.0,231.0,0.6695652173913044,11.0,1.3267104904012375
47,226.0,2.0,50.0,59.0,38.0,49.0,1.0,199.0,0.5768115942028985,9.476190476190476,1.1429237558002001
48,229.0,39.0,45.0,11.0,21.0,33.0,13.0,162.0,0.46956521739130436,7.714285714285714,0.930420343917751
49,233.0,45.0,3.0,24.0,36.0,7.0,32.0,147.0,0.4260869565217391,7.0,0.8442703120735148
50,238.0,15.0,9.0,41.0,13.0,37.0,42.0,157.0,0.45507246376811594,7.476190476190476,0.9017036666363388
51,239.0,33.0,21.0,44.0,46.0,47.0,6.0,197.0,0.5710144927536231,9.380952380952381,1.1314370848876354
52,245.0,44.0,51.0,27.0,53.0,8.0,60.0,243.0,0.7043478260869566,11.571428571428571,1.3956305158766265
53,252.0,17.0,54.0,4.0,51.0,32.0,26.0,184.0,0.5333333333333333,8.761904761904763,1.056773723955964
54,257.0,28.0,5.0,1.0,34.0,4.0,19.0,91.0,0.263768115942029,4.333333333333333,0.5226435265216997
55,264.0,5.0,25.0,31.0,13.0,1.0,33.0,108.0,0.3130434782608696,5.142857142857143,0.6202802292785006
56,270.0,45.0,27.0,35.0,40.0,5.0,9.0,161.0,0.4666666666666667,7.666666666666667,0.9246770084614685
57,273.0,47.0,52.0,10.0,27.0,23.0,17.0,176.0,0.5101449275362319,8.380952380952381,1.0108270403057047
58,281.0,11.0,5.0,47.0,31.0,53.0,38.0,185.0,0.5362318840579711,8.80952380952381,1.0625170594122464
59,282.0,33.0,24.0,36.0,9.0,14.0,23.0,139.0,0.4028985507246377,6.619047619047619,0.7983236284232554
60,283.0,48.0,34.0,28.0,54.0,25.0,42.0,231.0,0.6695652173913044,11.0,1.3267104904012375
61,284.0,8.0,36.0,14.0,32.0,30.0,7.0,127.0,0.3681159420289855,6.0476190476190474,0.7294036029478664
62,287.0,60.0,47.0,3.0,33.0,25.0,13.0,181.0,0.5246376811594203,8.619047619047619,1.0395437175871167
63,294.0,28.0,45.0,41.0,22.0,57.0,25.0,218.0,0.6318840579710145,10.380952380952381,1.252047129469566
64,298.0,22.0,34.0,24.0,23.0,5.0,60.0,168.0,0.48695652173913045,8.0,0.9648803566554454
65,303.0,7.0,13.0,30.0,37.0,47.0,17.0,151.0,0.43768115942028984,7.190476190476191,0.8672436538986444
66,308.0,55.0,25.0,4.0,11.0,29.0,39.0,163.0,0.47246376811594204,7.761904761904762,0.9361636793740333
67,309.0,39.0,50.0,25.0,55.0,11.0,4.0,184.0,0.5333333333333333,8.761904761904763,1.056773723955964
68,315.0,50.0,21.0,43.0,12.0,28.0,22.0,176.0,0.5101449275362319,8.380952380952381,1.0108270403057047
69,318.0,19.0,53.0,40.0,3.0,31.0,20.0,166.0,0.4811594202898551,7.904761904761905,0.9533936857428806
70,325.0,4.0,23.0,3.0,1.0,21.0,53.0,105.0,0.30434782608695654,5.0,0.6030502229096534
71,328.0,51.0,5.0,23.0,7.0,14.0,21.0,121.0,0.3507246376811594,5.761904761904762,0.694943590210172
72,334.0,41.0,26.0,51.0,14.0,24.0,23.0,179.0,0.518840579710145,8.523809523809524,1.028057046674552
73,343.0,4.0,6.0,7.0,24.0,12.0,41.0,94.0,0.27246376811594203,4.476190476190476,0.5398735328905468
74,345.0,56.0,11.0,58.0,46.0,51.0,22.0,244.0,0.7072463768115942,11.619047619047619,1.4013738513329088
75,354.0,40.0,52.0,38.0,16.0,7.0,41.0,194.0,0.5623188405797102,9.238095238095237,1.114207078518788
76,362.0,37.0,20.0,33.0,46.0,7.0,56.0,199.0,0.5768115942028985,9.476190476190476,1.1429237558002001
77,364.0,59.0,44.0,29.0,5.0,51.0,57.0,245.0,0.7101449275362319,11.666666666666666,1.4071171867891912
78,365.0,52.0,19.0,34.0,37.0,58.0,23.0,223.0,0.6463768115942029,10.619047619047619,1.2807638067509781
79,367.0,52.0,49.0,27.0,33.0,12.0,10.0,183.0,0.5304347826086957,8.714285714285714,1.0510303884996817
80,369.0,21.0,42.0,1.0,60.0,35.0,14.0,173.0,0.5014492753623189,8.238095238095237,0.9935970339368575
81,372.0,24.0,17.0,46.0,57.0,16.0,39.0,199.0,0.5768115942028985,9.476190476190476,1.1429237558002001
82,385.0,22.0,12.0,24.0,18.0,5.0,16.0,97.0,0.2811594202898551,4.619047619047619,0.557103539259394
83,390.0,7.0,22.0,34.0,12.0,38.0,53.0,166.0,0.4811594202898551,7.904761904761905,0.9533936857428806
84,392.0,49.0,47.0,39.0,31.0,15.0,23.0,204.0,0.591304347826087,9.714285714285714,1.1716404330816124
85,395.0,11.0,58.0,31.0,14.0,10.0,20.0,144.0,0.41739130434782606,6.857142857142857,0.8270403057046675
86,398.0,28.0,7.0,16.0,37.0,36.0,22.0,146.0,0.42318840579710143,6.9523809523809526,0.8385269766172323
87,408.0,49.0,44.0,33.0,28.0,56.0,14.0,224.0,0.6492753623188405,10.666666666666666,1.2865071422072605
88,414.0,35.0,26.0,58.0,52.0,45.0,16.0,232.0,0.672463768115942,11.047619047619047,1.3324538258575198
89,418.0,45.0,8.0,32.0,49.0,15.0,52.0,201.0,0.5826086956521739,9.571428571428571,1.154410426712765
90,425.0,6.0,16.0,10.0,34.0,47.0,42.0,155.0,0.4492753623188406,7.380952380952381,0.890216995723774
91,430.0,50.0,21.0,10.0,25.0,38.0,8.0,152.0,0.4405797101449275,7.238095238095238,0.8729869893549268
92,442.0,15.0,31.0,23.0,6.0,59.0,37.0,171.0,0.4956521739130435,8.142857142857142,0.9821103630242927
93,446.0,11.0,20.0,8.0,47.0,12.0,17.0,115.0,0.3333333333333333,5.476190476190476,0.6604835774724775
94,457.0,48.0,15.0,24.0,27.0,17.0,32.0,163.0,0.47246376811594204,7.761904761904762,0.9361636793740333
95,464.0,6.0,33.0,45.0,38.0,24.0,50.0,196.0,0.5681159420289855,9.333333333333334,1.125693749431353
96,469.0,29.0,47.0,42.0,21.0,13.0,26.0,178.0,0.5159420289855072,8.476190476190476,1.0223137112182696
97,477.0,47.0,34.0,8.0,6.0,18.0,38.0,151.0,0.43768115942028984,7.190476190476191,0.8672436538986444
98,481.0,42.0,6.0,24.0,44.0,22.0,13.0,151.0,0.43768115942028984,7.190476190476191,0.8672436538986444
99,486.0,50.0,42.0,19.0,8.0,30.0,14.0,163.0,0.47246376811594204,7.761904761904762,0.9361636793740333
100,487.0,25.0,22.0,48.0,52.0,54.0,8.0,209.0,0.6057971014492753,9.952380952380953,1.2003571103630244
101,490.0,5.0,11.0,29.0,54.0,23.0,58.0,180.0,0.5217391304347826,8.571428571428571,1.0338003821308344
102,491.0,22.0,43.0,15.0,55.0,9.0,1.0,145.0,0.42028985507246375,6.904761904761905,0.8327836411609499
103,499.0,59.0,1.0,11.0,5.0,44.0,4.0,124.0,0.35942028985507246,5.904761904761905,0.7121735965790192
104,500.0,35.0,21.0,54.0,29.0,38.0,36.0,213.0,0.6173913043478261,10.142857142857142,1.223330452188154
105,502.0,50.0,7.0,33.0,21.0,24.0,13.0,148.0,0.4289855072463768,7.0476190476190474,0.8500136475297971
106,507.0,44.0,58.0,5.0,27.0,33.0,3.0,170.0,0.4927536231884058,8.095238095238095,0.9763670275680102
107,510.0,30.0,45.0,58.0,1.0,4.0,41.0,179.0,0.518840579710145,8.523809523809524,1.028057046674552
108,512.0,8.0,40.0,58.0,4.0,53.0,31.0,194.0,0.5623188405797102,9.238095238095237,1.114207078518788
109,524.0,47.0,29.0,34.0,48.0,19.0,41.0,218.0,0.6318840579710145,10.380952380952381,1.252047129469566
110,525.0,26.0,32.0,24.0,49.0,8.0,10.0,149.0,0.4318840579710145,7.095238095238095,0.8557569829860796
111,529.0,56.0,45.0,13.0,33.0,38.0,1.0,186.0,0.5391304347826087,8.857142857142858,1.0682603948685288
112,534.0,48.0,57.0,23.0,8.0,31.0,3.0,170.0,0.4927536231884058,8.095238095238095,0.9763670275680102
113,535.0,49.0,14.0,47.0,56.0,6.0,28.0,200.0,0.5797101449275363,9.523809523809524,1.1486670912564827
114,537.0,37.0,3.0,19.0,34.0,39.0,7.0,139.0,0.4028985507246377,6.619047619047619,0.7983236284232554
115,541.0,58.0,57.0,27.0,13.0,49.0,52.0,256.0,0.7420289855072464,12.19047619047619,1.4702938768082978
116,543.0,35.0,54.0,37.0,42.0,49.0,46.0,263.0,0.7623188405797101,12.523809523809524,1.5104972250022746
117,545.0,43.0,35.0,57.0,29.0,40.0,17.0,221.0,0.6405797101449275,10.523809523809524,1.2692771358384134
118,547.0,4.0,59.0,13.0,53.0,28.0,30.0,187.0,0.5420289855072464,8.904761904761905,1.0740037303248113
119,555.0,49.0,5.0,23.0,33.0,45.0,31.0,186.0,0.5391304347826087,8.857142857142858,1.0682603948685288
120,559.0,53.0,25.0,36.0,13.0,17.0,6.0,150.0,0.43478260869565216,7.142857142857143,0.861500318442362
121,569.0,32.0,15.0,14.0,9.0,3.0,57.0,130.0,0.37681159420289856,6.190476190476191,0.7466336093167137
122,575.0,18.0,29.0,21.0,48.0,35.0,5.0,156.0,0.45217391304347826,7.428571428571429,0.8959603311800565
123,578.0,48.0,3.0,58.0,18.0,56.0,23.0,206.0,0.5971014492753624,9.80952380952381,1.183127103994177
124,579.0,15.0,34.0,39.0,17.0,4.0,9.0,118.0,0.34202898550724636,5.619047619047619,0.6777135838413247
125,581.0,30.0,25.0,52.0,14.0,39.0,17.0,177.0,0.5130434782608696,8.428571428571429,1.016570375761987
126,585.0,24.0,39.0,12.0,33.0,57.0,36.0,201.0,0.5826086956521739,9.571428571428571,1.154410426712765
127,598.0,5.0,16.0,53.0,38.0,50.0,34.0,196.0,0.5681159420289855,9.333333333333334,1.125693749431353
128,603.0,4.0,8.0,11.0,29.0,12.0,44.0,108.0,0.3130434782608696,5.142857142857143,0.6202802292785006
129,606.0,41.0,6.0,23.0,55.0,32.0,35.0,192.0,0.5565217391304348,9.142857142857142,1.1027204076062234
130,617.0,25.0,5.0,49.0,36.0,33.0,3.0,151.0,0.43768115942028984,7.190476190476191,0.8672436538986444
131,624.0,39.0,23.0,34.0,52.0,8.0,43.0,199.0,0.5768115942028985,9.476190476190476,1.1429237558002001
132,628.0,8.0,16.0,22.0,56.0,58.0,30.0,190.0,0.5507246376811594,9.047619047619047,1.0912337366936584
133,629.0,40.0,47.0,39.0,16.0,51.0,15.0,208.0,0.6028985507246377,9.904761904761905,1.194613774906742
134,631.0,1.0,28.0,47.0,20.0,44.0,32.0,172.0,0.4985507246376812,8.19047619047619,0.987853698480575
135,641.0,17.0,13.0,33.0,9.0,1.0,34.0,107.0,0.3101449275362319,5.095238095238095,0.6145368938222182
136,647.0,56.0,19.0,11.0,14.0,12.0,54.0,166.0,0.4811594202898551,7.904761904761905,0.9533936857428806
137,648.0,5.0,48.0,23.0,42.0,45.0,29.0,192.0,0.5565217391304348,9.142857142857142,1.1027204076062234
138,654.0,10.0,11.0,56.0,40.0,41.0,6.0,164.0,0.4753623188405797,7.809523809523809,0.9419070148303158
139,657.0,20.0,59.0,58.0,33.0,60.0,16.0,246.0,0.7130434782608696,11.714285714285714,1.4128605222454735
140,667.0,5.0,23.0,16.0,4.0,49.0,1.0,98.0,0.28405797101449276,4.666666666666667,0.5628468747156765
141,669.0,7.0,41.0,24.0,40.0,49.0,27.0,188.0,0.5449275362318841,8.952380952380953,1.0797470657810937
142,679.0,37.0,21.0,54.0,3.0,58.0,25.0,198.0,0.5739130434782609,9.428571428571429,1.1371804203439178
143,685.0,33.0,27.0,5.0,56.0,12.0,43.0,176.0,0.5101449275362319,8.380952380952381,1.0108270403057047
144,696.0,37.0,16.0,34.0,57.0,53.0,9.0,206.0,0.5971014492753624,9.80952380952381,1.183127103994177
145,707.0,51.0,8.0,1.0,43.0,10.0,36.0,149.0,0.4318840579710145,7.095238095238095,0.8557569829860796
146,715.0,54.0,36.0,12.0,4.0,33.0,24.0,163.0,0.47246376811594204,7.761904761904762,0.9361636793740333
147,716.0,29.0,2.0,7.0,50.0,16.0,32.0,136.0,0.39420289855072466,6.476190476190476,0.7810936220544082
148,725.0,49.0,9.0,3.0,35.0,37.0,41.0,174.0,0.5043478260869565,8.285714285714286,0.9993403693931399
149,729.0,33.0,56.0,18.0,57.0,43.0,5.0,212.0,0.6144927536231884,10.095238095238095,1.2175871167318717
150,734.0,44.0,45.0,27.0,29.0,43.0,54.0,242.0,0.7014492753623188,11.523809523809524,1.389887180420344
151,740.0,29.0,47.0,12.0,50.0,16.0,28.0,182.0,0.527536231884058,8.666666666666666,1.0452870530433993
152,746.0,49.0,12.0,10.0,57.0,25.0,1.0,154.0,0.4463768115942029,7.333333333333333,0.8844736602674916
153,753.0,59.0,35.0,43.0,22.0,7.0,2.0,168.0,0.48695652173913045,8.0,0.9648803566554454
154,764.0,7.0,3.0,55.0,47.0,53.0,45.0,210.0,0.6086956521739131,10.0,1.2061004458193068
155,768.0,33.0,37.0,59.0,30.0,4.0,8.0,171.0,0.4956521739130435,8.142857142857142,0.9821103630242927
156,774.0,37.0,5.0,54.0,58.0,46.0,10.0,210.0,0.6086956521739131,10.0,1.2061004458193068
157,783.0,43.0,21.0,48.0,8.0,4.0,32.0,156.0,0.45217391304347826,7.428571428571429,0.8959603311800565
158,785.0,35.0,5.0,37.0,8.0,48.0,17.0,150.0,0.43478260869565216,7.142857142857143,0.861500318442362
159,791.0,42.0,35.0,19.0,9.0,14.0,58.0,177.0,0.5130434782608696,8.428571428571429,1.016570375761987
160,804.0,13.0,59.0,37.0,56.0,3.0,47.0,215.0,0.6231884057971014,10.238095238095237,1.2348171231007188
161,811.0,32.0,57.0,28.0,41.0,10.0,47.0,215.0,0.6231884057971014,10.238095238095237,1.2348171231007188
162,820.0,17.0,45.0,32.0,21.0,10.0,46.0,171.0,0.4956521739130435,8.142857142857142,0.9821103630242927
163,832.0,17.0,49.0,15.0,33.0,39.0,23.0,176.0,0.5101449275362319,8.380952380952381,1.0108270403057047
164,834.0,44.0,10.0,17.0,16.0,51.0,34.0,172.0,0.4985507246376812,8.19047619047619,0.987853698480575
165,837.0,16.0,5.0,24.0,34.0,6.0,60.0,145.0,0.42028985507246375,6.904761904761905,0.8327836411609499
166,847.0,42.0,14.0,44.0,27.0,15.0,48.0,190.0,0.5507246376811594,9.047619047619047,1.0912337366936584
167,848.0,56.0,34.0,17.0,32.0,47.0,27.0,213.0,0.6173913043478261,10.142857142857142,1.223330452188154
168,851.0,16.0,32.0,35.0,58.0,19.0,3.0,163.0,0.47246376811594204,7.761904761904762,0.9361636793740333
