Concurso,1ª Dezena,2ª Dezena,3ª Dezena,4ª Dezena,5ª Dezena,6ª Dezena
1195.0,27.0,17.0,57.0,26.0,55.0,20.0
1200.0,10.0,3.0,39.0,54.0,56.0,11.0
1211.0,36.0,54.0,3.0,31.0,15.0,48.0
1220.0,48.0,55.0,52.0,43.0,5.0,15.0
1224.0,41.0,19.0,57.0,53.0,21.0,27.0
1225.0,32.0,55.0,34.0,31.0,50.0,40.0
1227.0,35.0,31.0,4.0,30.0,54.0,28.0
1231.0,20.0,27.0,49.0,5.0,23.0,39.0
1237.0,26.0,21.0,39.0,5.0,18.0,59.0
1245.0,34.0,10.0,37.0,50.0,43.0,2.0
1249.0,3.0,40.0,8.0,53.0,51.0,36.0
1257.0,27.0,15.0,30.0,52.0,26.0,2.0
1262.0,11.0,39.0,9.0,5.0,8.0,7.0
1269.0,51.0,5.0,27.0,4.0,15.0,17.0
1276.0,9.0,40.0,5.0,22.0,36.0,11.0
1281.0,36.0,14.0,30.0,38.0,11.0,8.0
1289.0,13.0,8.0,27.0,1.0,3.0,52.0
1295.0,20.0,2.0,43.0,15.0,5.0,57.0
1298.0,60.0,14.0,53.0,30.0,15.0,55.0
1300.0,46.0,43.0,59.0,54.0,44.0,53.0
1301.0,16.0,25.0,3.0,51.0,23.0,56.0
1307.0,10.0,47.0,54.0,7.0,43.0,32.0
1315.0,27.0,29.0,1.0,50.0,52.0,38.0
1316.0,48.0,34.0,25.0,42.0,13.0,8.0
1321.0,51.0,59.0,47.0,10.0,60.0,53.0
1328.0,43.0,27.0,59.0,53.0,23.0,10.0
1331.0,24.0,46.0,39.0,57.0,26.0,9.0
1332.0,5.0,13.0,3.0,24.0,35.0,59.0
1335.0,49.0,3.0,51.0,20.0,22.0,14.0
1336.0,51.0,54.0,32.0,1.0,38.0,47.0
1338.0,19.0,33.0,18.0,43.0,60.0,1.0
1344.0,19.0,42.0,8.0,36.0,21.0,59.0
1346.0,59.0,47.0,32.0,48.0,40.0,12.0
1349.0,9.0,19.0,20.0,50.0,60.0,51.0
1350.0,4.0,36.0,29.0,55.0,45.0,3.0
1353.0,47.0,11.0,3.0,27.0,32.0,13.0
1354.0,2.0,42.0,8.0,49.0,48.0,38.0
1360.0,50.0,25.0,17.0,16.0,54.0,2.0
1362.0,58.0,19.0,12.0,22.0,2.0,36.0
1366.0,59.0,44.0,54.0,37.0,27.0,12.0
1368.0,10.0,26.0,29.0,38.0,32.0,21.0
1370.0,2.0,27.0,59.0,49.0,4.0,5.0
1373.0,52.0,39.0,7.0,27.0,55.0,57.0
1375.0,25.0,28.0,53.0,45.0,14.0,58.0
1377.0,25.0,5.0,13.0,12.0,35.0,2.0
1381.0,44.0,30.0,27.0,11.0,40.0,57.0
1384.0,56.0,18.0,31.0,2.0,30.0,45.0
1385.0,42.0,37.0,35.0,27.0,59.0,36.0
1389.0,1.0,44.0,39.0,16.0,57.0,28.0
1390.0,29.0,27.0,19.0,4.0,28.0,31.0
1393.0,44.0,28.0,18.0,24.0,4.0,39.0
1399.0,39.0,43.0,60.0,57.0,34.0,56.0
1401.0,12.0,11.0,54.0,33.0,48.0,25.0
1405.0,14.0,17.0,32.0,37.0,39.0,3.0
1411.0,32.0,44.0,12.0,8.0,48.0,46.0
1412.0,6.0,8.0,37.0,24.0,45.0,41.0
1416.0,49.0,3.0,19.0,35.0,22.0,24.0
1417.0,12.0,56.0,5.0,52.0,45.0,59.0
1421.0,31.0,39.0,59.0,19.0,53.0,44.0
1422.0,17.0,44.0,2.0,5.0,13.0,39.0
1423.0,43.0,8.0,21.0,27.0,3.0,25.0
1425.0,7.0,29.0,50.0,16.0,38.0,36.0
1428.0,15.0,55.0,37.0,34.0,19.0,7.0
1433.0,14.0,46.0,40.0,13.0,4.0,52.0
1434.0,3.0,34.0,58.0,22.0,18.0,55.0
1438.0,49.0,7.0,33.0,31.0,36.0,14.0
1440.0,6.0,28.0,56.0,2.0,36.0,51.0
1445.0,41.0,32.0,19.0,58.0,5.0,49.0
1446.0,13.0,32.0,6.0,51.0,40.0,24.0
1455.0,33.0,14.0,52.0,36.0,32.0,41.0
1459.0,2.0,6.0,35.0,30.0,52.0,34.0
1462.0,5.0,9.0,25.0,40.0,38.0,27.0
1466.0,4.0,13.0,51.0,37.0,6.0,34.0
1467.0,41.0,53.0,26.0,23.0,52.0,24.0
1468.0,2.0,20.0,37.0,19.0,1.0,10.0
1470.0,2.0,34.0,51.0,36.0,38.0,55.0
1474.0,2.0,43.0,11.0,1.0,3.0,28.0
1475.0,13.0,12.0,51.0,37.0,48.0,44.0
1480.0,9.0,14.0,26.0,36.0,52.0,21.0
1486.0,10.0,1.0,34.0,54.0,6.0,40.0
1488.0,4.0,51.0,45.0,22.0,38.0,25.0
1489.0,48.0,15.0,24.0,28.0,1.0,26.0
1492.0,48.0,44.0,46.0,4.0,18.0,9.0
1493.0,30.0,24.0,12.0,49.0,7.0,27.0
1499.0,26.0,37.0,8.0,22.0,54.0,33.0
1500.0,57.0,43.0,18.0,59.0,10.0,31.0
1501.0,13.0,37.0,54.0,7.0,29.0,1.0
1508.0,58.0,39.0,18.0,17.0,35.0,30.0
1510.0,1.0,8.0,44.0,17.0,46.0,53.0
1514.0,23.0,16.0,17.0,59.0,42.0,60.0
1515.0,59.0,49.0,13.0,18.0,4.0,14.0
1516.0,34.0,60.0,18.0,45.0,4.0,20.0
1521.0,18.0,30.0,14.0,11.0,33.0,39.0
1526.0,51.0,47.0,28.0,10.0,59.0,16.0
1529.0,35.0,17.0,15.0,34.0,49.0,11.0
1530.0,53.0,10.0,28.0,16.0,48.0,33.0
1532.0,42.0,2.0,11.0,23.0,31.0,44.0
1534.0,28.0,12.0,34.0,29.0,1.0,48.0
1537.0,6.0,56.0,33.0,50.0,51.0,10.0
1538.0,35.0,52.0,27.0,53.0,57.0,23.0
1545.0,6.0,48.0,11.0,45.0,4.0,24.0
1547.0,28.0,21.0,9.0,10.0,2.0,18.0
1549.0,32.0,53.0,16.0,20.0,12.0,10.0
1550.0,21.0,56.0,36.0,9.0,13.0,27.0
1551.0,2.0,23.0,38.0,15.0,21.0,19.0
1559.0,37.0,58.0,12.0,29.0,8.0,16.0
1560.0,30.0,47.0,53.0,38.0,20.0,36.0
1563.0,43.0,36.0,1.0,20.0,13.0,6.0
1564.0,54.0,44.0,38.0,25.0,46.0,53.0
1566.0,11.0,32.0,60.0,5.0,6.0,36.0
1575.0,1.0,5.0,4.0,45.0,14.0,56.0
1577.0,25.0,32.0,11.0,59.0,51.0,14.0
1580.0,1.0,6.0,14.0,17.0,33.0,36.0
1582.0,4.0,17.0,1.0,48.0,13.0,38.0
1588.0,36.0,29.0,23.0,49.0,32.0,45.0
1591.0,4.0,23.0,55.0,10.0,38.0,33.0
1593.0,4.0,17.0,38.0,9.0,18.0,21.0
1595.0,59.0,5.0,42.0,8.0,46.0,2.0
1596.0,5.0,12.0,1.0,7.0,45.0,10.0
1599.0,35.0,10.0,15.0,58.0,36.0,3.0
1600.0,9.0,46.0,23.0,32.0,35.0,57.0
1602.0,8.0,44.0,40.0,35.0,22.0,12.0
1606.0,54.0,1.0,15.0,37.0,46.0,42.0
1612.0,17.0,51.0,36.0,6.0,42.0,13.0
1614.0,49.0,27.0,43.0,17.0,14.0,21.0
1617.0,23.0,31.0,47.0,54.0,3.0,26.0
1618.0,9.0,51.0,20.0,24.0,52.0,43.0
1621.0,24.0,22.0,38.0,49.0,10.0,39.0
1627.0,26.0,57.0,20.0,32.0,45.0,41.0
1632.0,18.0,56.0,27.0,6.0,24.0,59.0
1634.0,44.0,9.0,33.0,10.0,23.0,51.0
1639.0,35.0,51.0,34.0,49.0,16.0,29.0
1640.0,6.0,18.0,46.0,23.0,31.0,2.0
1647.0,38.0,54.0,23.0,12.0,17.0,53.0
1655.0,56.0,46.0,7.0,24.0,28.0,53.0
1657.0,10.0,54.0,37.0,45.0,14.0,7.0
1658.0,7.0,40.0,19.0,49.0,11.0,23.0
1660.0,17.0,38.0,42.0,51.0,34.0,8.0
1662.0,57.0,10.0,25.0,14.0,33.0,29.0
1664.0,48.0,8.0,21.0,36.0,23.0,29.0
1665.0,20.0,11.0,16.0,1.0,56.0,5.0
1667.0,51.0,24.0,56.0,7.0,12.0,44.0
1672.0,20.0,10.0,1.0,5.0,42.0,3.0
1675.0,36.0,3.0,35.0,56.0,18.0,34.0
1677.0,52.0,33.0,15.0,28.0,51.0,10.0
1679.0,28.0,2.0,1.0,46.0,27.0,47.0
1680.0,37.0,46.0,47.0,51.0,23.0,38.0
1681.0,1.0,33.0,8.0,11.0,6.0,50.0
1683.0,48.0,4.0,12.0,34.0,32.0,33.0
1686.0,44.0,37.0,9.0,55.0,14.0,46.0
1687.0,15.0,58.0,24.0,37.0,46.0,49.0
1689.0,41.0,2.0,53.0,5.0,13.0,27.0
1694.0,34.0,29.0,20.0,37.0,57.0,45.0
1696.0,12.0,1.0,31.0,37.0,17.0,46.0
1700.0,58.0,41.0,48.0,50.0,15.0,18.0
1701.0,9.0,3.0,18.0,40.0,32.0,56.0
1702.0,39.0,52.0,17.0,35.0,19.0,33.0
1706.0,12.0,31.0,34.0,48.0,36.0,56.0
1713.0,3.0,29.0,10.0,16.0,23.0,27.0
1716.0,25.0,36.0,2.0,53.0,42.0,41.0
1721.0,12.0,33.0,4.0,38.0,36.0,19.0
1727.0,4.0,6.0,41.0,40.0,19.0,20.0
1730.0,1.0,24.0,10.0,17.0,42.0,51.0
1732.0,25.0,60.0,34.0,53.0,45.0,38.0
1733.0,5.0,9.0,41.0,14.0,3.0,46.0
1738.0,53.0,46.0,28.0,48.0,37.0,12.0
1741.0,49.0,18.0,20.0,32.0,15.0,48.0
1747.0,53.0,34.0,59.0,33.0,48.0,6.0
1753.0,54.0,8.0,45.0,29.0,35.0,15.0
1764.0,6.0,7.0,41.0,39.0,29.0,55.0
1772.0,27.0,39.0,19.0,41.0,12.0,45.0
1775.0,31.0,2.0,51.0,42.0,18.0,56.0
1781.0,22.0,8.0,52.0,1.0,53.0,49.0
1787.0,1.0,29.0,13.0,25.0,5.0,26.0
1793.0,56.0,13.0,22.0,54.0,14.0,58.0
1794.0,1.0,5.0,37.0,60.0,34.0,40.0
1796.0,54.0,22.0,48.0,34.0,23.0,53.0
1800.0,31.0,56.0,16.0,6.0,11.0,19.0
1810.0,56.0,10.0,43.0,50.0,1.0,25.0
1815.0,60.0,8.0,25.0,39.0,41.0,11.0
1821.0,53.0,31.0,19.0,52.0,36.0,22.0
1825.0,21.0,54.0,10.0,50.0,51.0,11.0
1830.0,29.0,3.0,54.0,7.0,37.0,60.0
1831.0,55.0,15.0,48.0,32.0,28.0,27.0
1834.0,2.0,22.0,51.0,24.0,48.0,17.0
1838.0,59.0,24.0,30.0,8.0,57.0,5.0
1842.0,18.0,43.0,22.0,24.0,16.0,34.0
1843.0,28.0,26.0,33.0,41.0,8.0,54.0
1850.0,24.0,32.0,23.0,40.0,41.0,38.0
1853.0,2.0,41.0,39.0,1.0,34.0,45.0
1860.0,10.0,40.0,30.0,44.0,36.0,60.0
1862.0,8.0,49.0,35.0,42.0,56.0,2.0
1871.0,17.0,58.0,33.0,52.0,11.0,3.0
1875.0,53.0,45.0,47.0,1.0,52.0,55.0
1879.0,20.0,58.0,10.0,59.0,57.0,5.0
1881.0,30.0,10.0,53.0,44.0,3.0,56.0
1888.0,48.0,1.0,18.0,45.0,17.0,10.0
1890.0,5.0,24.0,51.0,22.0,11.0,53.0
1896.0,25.0,6.0,14.0,21.0,3.0,15.0
1902.0,25.0,18.0,2.0,21.0,9.0,7.0
1910.0,9.0,6.0,39.0,15.0,22.0,48.0
1912.0,42.0,10.0,33.0,36.0,13.0,35.0
1914.0,39.0,33.0,29.0,16.0,44.0,42.0
1924.0,16.0,52.0,53.0,58.0,30.0,12.0
1926.0,46.0,3.0,2.0,30.0,14.0,20.0
1927.0,11.0,5.0,30.0,31.0,13.0,19.0
1935.0,24.0,17.0,10.0,1.0,3.0,23.0
1937.0,10.0,29.0,24.0,43.0,6.0,55.0
1941.0,38.0,1.0,9.0,48.0,49.0,24.0
1953.0,45.0,29.0,42.0,9.0,43.0,26.0
1957.0,23.0,47.0,29.0,2.0,14.0,22.0
1965.0,28.0,26.0,55.0,38.0,48.0,35.0
1974.0,19.0,57.0,38.0,54.0,4.0,27.0
1975.0,8.0,24.0,47.0,26.0,11.0,57.0
1977.0,28.0,3.0,32.0,34.0,37.0,16.0
1979.0,38.0,23.0,45.0,32.0,29.0,22.0
1982.0,46.0,24.0,20.0,4.0,50.0,14.0
1983.0,14.0,22.0,6.0,5.0,10.0,36.0
1992.0,21.0,11.0,13.0,53.0,54.0,5.0
2000.0,6.0,37.0,34.0,10.0,3.0,17.0
2004.0,45.0,35.0,1.0,23.0,5.0,14.0
2015.0,18.0,58.0,32.0,39.0,27.0,17.0
2023.0,23.0,56.0,8.0,7.0,1.0,6.0
2028.0,7.0,42.0,58.0,36.0,24.0,11.0
2030.0,38.0,4.0,58.0,40.0,27.0,59.0
2033.0,40.0,10.0,18.0,33.0,38.0,43.0
2034.0,7.0,56.0,22.0,13.0,6.0,17.0
2041.0,10.0,12.0,54.0,42.0,22.0,25.0
2045.0,27.0,46.0,15.0,25.0,50.0,45.0
2052.0,57.0,50.0,56.0,51.0,58.0,59.0
2062.0,8.0,15.0,34.0,25.0,10.0,23.0
2066.0,27.0,55.0,35.0,6.0,25.0,45.0
2074.0,42.0,8.0,18.0,37.0,58.0,23.0
2077.0,37.0,13.0,16.0,26.0,39.0,35.0
2081.0,40.0,42.0,13.0,18.0,35.0,41.0
2082.0,25.0,33.0,42.0,49.0,6.0,48.0
2087.0,19.0,18.0,53.0,34.0,2.0,23.0
2088.0,24.0,3.0,27.0,38.0,14.0,56.0
2091.0,12.0,11.0,10.0,59.0,38.0,37.0
2100.0,1.0,35.0,13.0,11.0,10.0,49.0
2110.0,25.0,33.0,10.0,12.0,18.0,5.0
2118.0,41.0,11.0,12.0,46.0,20.0,40.0
2121.0,37.0,8.0,17.0,29.0,10.0,40.0
2131.0,28.0,18.0,20.0,6.0,2.0,3.0
2135.0,23.0,48.0,59.0,28.0,40.0,9.0
2150.0,38.0,24.0,23.0,26.0,42.0,49.0
2153.0,13.0,28.0,31.0,8.0,33.0,32.0
2161.0,24.0,10.0,8.0,44.0,9.0,42.0
2165.0,56.0,49.0,54.0,43.0,5.0,37.0
2168.0,37.0,25.0,29.0,4.0,1.0,27.0
2171.0,19.0,12.0,13.0,36.0,55.0,44.0
